u'Date', u'Time\nET', u'Statistic', u'For', u'Actual', u'Briefing Forecast', u'Market Expects', u'Prior', u'Revised\nFrom'
u'Mar 13', u'2:00 PM', u'Treasury Budget', u'Feb', u'-$193.5B', u'-$195B', u'-$195B', u'-$203.5B', u'-'
u'Mar 14', u'8:30 AM', u'PPI', u'Feb', u'-0.1%', u'0.2%', u'0.2%', u'0.2%', u'-'
u'Mar 14', u'8:30 AM', None, u'Feb', u'-0.2%', u'0.1%', u'0.1%', u'0.2%', u'-'
u'Mar 14', u'9:55 AM', u'Mich Sentiment', u'Mar', u'79.9', u'81.6', u'82.0', u'81.6', u'-'
u'Mar 17', u'8:30 AM', u'Empire Manufacturing', u'Mar', u'5.6', u'2.0', u'5.4', u'4.5', u'-'
u'Mar 17', u'9:00 AM', u'Net Long-Term TIC Flows', u'Jan', u'-', u'NA', u'NA', u'-$45.9B', u'-'
u'Mar 17', u'9:15 AM', u'Capacity Utilization', u'Feb', u'-', u'NA', u'NA', u'78.5%', u'-'
u'Mar 17', u'9:15 AM', u'Industrial Production', u'Feb', u'0.6%', u'-0.1%', u'0.1%', u'-0.2%', u'-0.3%'
u'Mar 17', u'9:15 AM', u'Capacity Utilization', u'Feb', u'78.8%', u'78.4%', u'78.5%', u'78.5%', u'-'
u'Mar 17', u'10:00 AM', u'NAHB Housing Market Index', u'Mar', u'47', u'50', u'50', u'46', u'-'
u'Mar 18', u'8:30 AM', u'Housing Starts', u'Feb', u'907K', u'875K', u'915K', u'909K', u'880K'
u'Mar 18', u'8:30 AM', u'Building Permits', u'Feb', u'1018K', u'945K', u'955K', u'945K', u'937K'
u'Mar 18', u'8:30 AM', u'CPI', u'Feb', u'0.1%', u'0.2%', u'0.2%', u'0.1%', u'-'
u'Mar 18', u'8:30 AM', None, u'Feb', u'0.1%', u'0.1%', u'0.1%', u'0.1%', u'-'
u'Mar 18', u'9:00 AM', u'Net Long-Term TIC Flows', u'Jan', u'$7.3B', u'NA', u'NA', u'-$45.9B', u'-'
u'Mar 19', u'7:00 AM', u'MBA Mortgage Index', u'03/15', u'-1.2%', u'NA', u'NA', u'-2.1%', u'-'
u'Mar 19', u'8:30 AM', u'Current Account Balance', u'Q4', u'-$81.1B', u'-$88.0B', u'-$87.6B', u'-$96.4B', u'-$94.8B'
